Username,Action,Team,Suite,Batch,Argument
alice,server-install,,,,
alice,account-create,,,,
bob,account-create,,,,
charlie,account-create,,,,
david,account-create,,,,
eve,account-create,,,,
frank,account-create,,,,
grace,account-create,,,,
heidi,account-create,,,,
ivan,account-create,,,,
judy,account-create,,,,
kris,account-create,,,,
ludwig,account-create,,,,
alice,account-onboard,,,,"Alice Anderson"
alice,api-key,8c3b03a8-0836-4066-b663-f7a44f19fb32,,,
bob,account-onboard,,,,"Bob Brown"
charlie,account-onboard,,,,"Charlie Clark"
david,account-onboard,,,,"David Davis"
eve,account-onboard,,,,"Eve Evans"
frank,account-onboard,,,,"Frank Fisher"
grace,account-onboard,,,,"Grace Green"
heidi,account-onboard,,,,"Heidi Harris"
ivan,account-onboard,,,,"Ivan Ingram"
judy,account-onboard,,,,"Judy Johnson"
kris,account-onboard,,,,"Kris Kelly"
ivan,account-reset-request,,,,
ivan,account-reset-apply,,,,
judy,account-reset-request,,,,
kris,account-fail-login,,,,
kris,account-fail-login,,,,
kris,account-fail-login,,,,
kris,account-fail-login,,,,
alice,team-create,acme,,,"Old Acme"
alice,team-update,acme,,,acme,"Acme"
alice,team-invite-add,acme,,,bob,charlie,david,eve,frank,grace,heidi,ivan
alice,team-invite-rescind,acme,,,ivan
bob,team-invite-accept,acme,,,
charlie,team-invite-accept,acme,,,
david,team-invite-accept,acme,,,
eve,team-invite-accept,acme,,,
grace,team-invite-decline,acme,,,
heidi,team-invite-accept,acme,,,
heidi,team-leave,acme,,,
ivan,team-join-add,acme,,,
judy,team-join-add,acme,,,
judy,team-join-rescind,acme,,,
judy,team-join-add,acme,,,
alice,team-member-update,acme,,bob,admin
alice,suite-create,acme,students,,"Old Find Students"
alice,suite-update,acme,students,,students,"Find Students"
bob,team-join-accept,acme,,,ivan
bob,team-join-decline,acme,,,judy
judy,team-join-add,acme,,,
bob,suite-subscribe,acme,students,,"all"
charlie,suite-subscribe,acme,students,,"different"
david,suite-subscribe,acme,students,,"all"
david,suite-subscribe,acme,students,,"none"
charlie,suite-create,acme,empty-suite,,"Empty Suite"
bob,suite-remove,acme,empty-suite,,
alice,client-submit,acme,students,v1.0,
bob,client-submit,acme,students,v2.0,
bob,comment-create,acme,students,v2.0,"This version fixes a *typo* in the username of student **Charlie Clark**. I changed their username to `charlie`."
alice,comment-create,acme,students,v2.0,"Thanks for your explanation, Bob! Do we know why test case **alice** has differences?"
bob,comment-create,acme,students,v2.0,"I don't know. Charlie may know more. I remember he made some changes to the code yesterday."
charlie,comment-create,acme,students,v2.0,"Yes! We had a meeting yesterday and decided that our software should consider students with gpa `>3.0` as *pass*."
alice,comment-create,acme,students,v2.0,"Great. Now that we know the reason behind the differences, I propose that we promote `v2.0` as the new baseline."
bob,batch-seal,acme,students,v2.0,
bob,batch-promote,acme,students,v2.0,"These differences are expected. I fixed a typo in the testcase name `charlie` and Charlie updated the `pass` criteria in function `calculate_gpa`."
charlie,client-submit,acme,students,v3.0,
alice,client-submit,acme,students,v4.0,
charlie,client-submit,acme,students,v5.0,
charlie,batch-seal,acme,students,v1.0,
charlie,batch-seal,acme,students,v3.0,
charlie,batch-seal,acme,students,v4.0,
charlie,batch-seal,acme,students,v5.0,
